laptop_ID,Price_euros
750.0,500
363.0,500
1001.0,500
541.0,650
213.0,650
117.0,500
1224.0,500
769.0,650
79.0,650
513.0,650
22.0,650
890.0,500
702.0,650
44.0,650
652.0,650
519.0,650
94.0,650
797.0,650
714.0,650
146.0,500
366.0,650
70.0,500
216.0,500
1088.0,500
258.0,500
603.0,650
1074.0,500
1039.0,650
223.0,500
624.0,500
796.0,500
1187.0,650
755.0,500
75.0,650
1007.0,500
663.0,500
343.0,500
91.0,650
239.0,500
97.0,650
538.0,500
1107.0,650
118.0,500
713.0,650
1046.0,650
576.0,650
367.0,500
25.0,650
1035.0,650
795.0,500
1057.0,650
738.0,650
1253.0,500
930.0,650
169.0,650
268.0,500
683.0,650
980.0,650
660.0,500
455.0,650
267.0,500
506.0,500
815.0,650
10.0,500
148.0,650
340.0,650
580.0,650
1122.0,650
95.0,650
408.0,500
1264.0,650
938.0,650
,500
,650
,500
,650
,650
,500
,500
,650
,500
,500
,500
,500
,650
,650
,500
,500
,650
,500
,500
,650
,650
,500
,500
,650
,500
,650
,650
,500
,650
,500
,500
,500
,500
,500
,650
,650
,500
,650
,650
,500
,650
,650
,500
,500
,650
,500
,650
,650
,500
,500
,650
,500
,500
,650
,500
,500
,650
,650
,650
,500
,650
,650
,650
,500
,500
,650
,650
,650
,500
,650
,650
,650
,500
,650
,500
,650
,650
,650
,500
,500
,650
,500
,650
,500
,650
,500
,500
,650
,500
,650
,650
,500
,500
,650
,500
,650
,500
,500
,500
,650
,500
,500
,650
,500
,650
,650
,500
,650
,500
,500
,500
,500
,650
,500
,650
,500
,650
,500
,650
,500
,500
,650
,650
,650
,500
,650
,500
,650
,650
,650
,650
,500
,500
,650
,500
,650
,650
,500
,500
,500
,500
,650
,500
,650
,500
,500
,650
,650
,500
,650
,650
,650
,500
,650
,650
,500
,650
,650
,650
,500
,500
,650
,650
,650
,650
,650
,650
,500
,650
,650
,500
,650
,650
,650
,500
,650
,500
,500
,500
,650
,500
,500
,500
,500
,650
,500
,650
,650
,500
,500
,650
,650
,650
,650
,500
,650
,500
,650
,500
,650
,650
,650
,650
,500
,650
,650
,500
,650
,500
,650
,650
,650
,500
,500
,500
,500
,500
,500
,500
,500
,650
,500
,650
,650
,650
,650
,650
,650
,500
,500
,650
,500
,500
,500
,500
,650
,650
,650
,650
,650
,500
,500
,650
,500
,500
,650
,500
,500
,650
,500
,650
,500
,650
,650
,500
,500
,650
,650
,650
,500
,500
,500
,500
,500
,650
,500
,500
,500
,650
,650
,650
,500
,650
,650
,500
,650
,500
,650
,500
,500
,500
,650
,650
,500
,500
,500
,500
,500
,650
,500
,500
,500
,500
,650
,650
,500
,500
,650
,650
,650
,500
,500
,650
,650
,500
,500
,500
,500
,650
,500
,650
,650
,500
,650
,650
,500
,650
,650
,500
