iter	Passed	Remaining
0	140	140568
1	141	70722
2	142	47514
3	144	36027
4	146	29105
5	147	24406
6	148	21111
7	150	18622
8	151	16655
9	152	15125
10	154	13887
11	155	12815
12	156	11916
13	158	11142
14	159	10474
15	161	9910
16	162	9399
17	164	8953
18	165	8554
19	167	8203
20	169	7902
21	171	7613
22	173	7352
23	174	7098
24	176	6873
25	177	6657
26	179	6459
27	180	6277
28	182	6101
29	183	5948
30	185	5800
31	187	5662
32	188	5533
33	189	5398
34	191	5279
35	193	5174
36	195	5076
37	196	4977
38	198	4882
39	199	4791
40	201	4704
41	202	4621
42	204	4542
43	206	4478
44	208	4415
45	209	4353
46	211	4294
47	213	4239
48	215	4182
49	217	4131
50	218	4072
51	220	4024
52	222	3984
53	224	3935
54	226	3895
55	228	3849
56	230	3810
57	231	3766
58	233	3718
59	234	3676
60	235	3632
61	237	3589
62	238	3552
63	240	3521
64	242	3485
65	244	3455
66	245	3420
67	247	3390
68	249	3359
69	250	3325
70	251	3292
71	253	3264
72	255	3241
73	257	3216
74	258	3193
75	260	3168
76	262	3142
77	263	3112
78	264	3086
79	266	3059
80	267	3036
81	269	3015
82	270	2990
83	272	2972
84	274	2952
85	275	2930
86	277	2909
87	278	2889
88	280	2867
89	281	2849
90	283	2834
91	285	2815
92	286	2797
93	288	2777
94	289	2757
95	290	2734
96	291	2716
97	292	2696
98	294	2678
99	296	2664
100	297	2650
101	299	2635
102	300	2620
103	302	2602
104	303	2587
105	304	2571
106	306	2557
107	307	2542
108	309	2526
109	310	2510
110	312	2500
111	313	2487
112	315	2475
113	317	2464
114	318	2451
115	319	2437
116	321	2424
117	322	2410
118	323	2398
119	325	2387
120	327	2378
121	328	2367
122	330	2356
123	332	2345
124	333	2332
125	334	2322
126	336	2310
127	337	2296
128	338	2286
129	340	2276
130	341	2267
131	343	2257
132	344	2246
133	346	2236
134	347	2226
135	348	2216
136	350	2206
137	351	2196
138	352	2186
139	354	2175
140	355	2167
141	356	2154
142	357	2145
143	359	2135
144	360	2126
145	362	2118
146	363	2106
147	364	2098
148	365	2089
149	367	2079
150	368	2071
151	370	2067
152	373	2067
153	375	2063
154	377	2059
155	379	2054
156	381	2047
157	383	2041
158	385	2037
159	386	2030
160	388	2025
161	390	2018
162	391	2012
163	393	2006
164	395	2001
165	397	1996
166	399	1991
167	400	1985
168	402	1977
169	403	1972
170	405	1967
171	407	1963
172	409	1958
173	411	1952
174	412	1946
175	414	1940
176	416	1935
177	417	1929
178	419	1923
179	420	1916
180	422	1909
181	423	1903
182	424	1896
183	426	1889
184	427	1883
185	428	1875
186	430	1870
187	431	1865
188	433	1858
189	434	1853
190	436	1847
191	437	1842
192	439	1837
193	440	1830
194	441	1824
195	443	1819
196	445	1814
197	446	1808
198	447	1802
199	448	1795
200	449	1788
201	451	1783
202	452	1778
203	454	1772
204	455	1766
205	456	1761
206	458	1756
207	459	1751
208	461	1745
209	462	1739
210	463	1734
211	465	1728
212	466	1723
213	467	1718
214	469	1714
215	470	1708
216	472	1704
217	474	1702
218	475	1696
219	477	1691
220	478	1686
221	480	1684
222	482	1680
223	483	1675
224	484	1670
225	486	1665
226	488	1662
227	490	1659
228	491	1655
229	493	1650
230	494	1645
231	495	1640
232	496	1634
233	497	1628
234	498	1624
235	500	1619
236	501	1614
237	503	1611
238	504	1606
239	505	1601
240	506	1595
241	508	1592
242	510	1590
243	512	1587
244	513	1583
245	515	1578
246	516	1574
247	518	1571
248	519	1567
249	521	1563
250	522	1560
251	524	1557
252	525	1551
253	527	1548
254	528	1544
255	530	1541
256	532	1538
257	534	1535
258	536	1534
259	537	1530
260	538	1526
261	540	1522
262	541	1518
263	543	1513
264	544	1509
265	545	1505
266	547	1503
267	549	1501
268	551	1497
269	552	1494
270	554	1492
271	556	1489
272	557	1485
273	559	1482
274	561	1480
275	563	1478
276	565	1475
277	566	1472
278	568	1470
279	570	1467
280	572	1464
281	574	1461
282	576	1459
283	577	1456
284	579	1454
285	581	1450
286	582	1447
287	584	1444
288	585	1440
289	586	1436
290	588	1433
291	590	1430
292	592	1429
293	593	1426
294	595	1423
295	597	1420
296	598	1416
297	599	1412
298	601	1409
299	602	1406
300	603	1402
301	605	1400
302	607	1398
303	609	1395
304	611	1392
305	612	1389
306	613	1385
307	615	1382
308	617	1379
309	618	1377
310	620	1375
311	622	1371
312	623	1369
313	625	1366
314	627	1363
315	628	1360
316	629	1356
317	631	1354
318	632	1351
319	634	1347
320	636	1345
321	637	1342
322	639	1339
323	640	1335
324	641	1332
325	643	1330
326	644	1327
327	646	1324
328	647	1321
329	649	1319
330	651	1317
331	653	1314
332	654	1311
333	656	1308
334	657	1305
335	659	1302
336	660	1298
337	661	1296
338	663	1294
339	665	1292
340	667	1289
341	668	1286
342	670	1284
343	672	1282
344	674	1280
345	675	1277
346	677	1274
347	679	1273
348	681	1271
349	683	1269
350	685	1267
351	687	1265
352	689	1263
353	691	1261
354	692	1259
355	694	1256
356	696	1254
357	698	1252
358	699	1249
359	702	1248
360	704	1246
361	706	1244
362	707	1241
363	709	1239
364	711	1237
365	713	1235
366	715	1233
367	716	1231
368	718	1228
369	720	1226
370	722	1224
371	723	1221
372	725	1219
373	727	1216
374	729	1215
375	731	1213
376	732	1210
377	734	1208
378	735	1205
379	737	1203
380	739	1201
381	740	1198
382	742	1196
383	744	1194
384	746	1192
385	748	1189
386	749	1187
387	751	1184
388	752	1182
389	754	1179
390	755	1177
391	757	1174
392	758	1171
393	759	1168
394	761	1165
395	762	1163
396	764	1160
397	765	1158
398	767	1155
399	768	1153
400	770	1150
401	772	1148
402	773	1145
403	774	1142
404	775	1139
405	777	1136
406	778	1134
407	779	1131
408	781	1129
409	783	1127
410	785	1126
411	787	1124
412	789	1122
413	791	1120
414	792	1117
415	794	1115
416	795	1112
417	798	1111
418	799	1109
419	801	1106
420	802	1104
421	804	1102
422	806	1099
423	807	1097
424	809	1094
425	810	1092
426	812	1089
427	813	1087
428	814	1084
429	815	1081
430	817	1078
431	818	1075
432	819	1073
433	821	1070
434	822	1068
435	823	1065
436	825	1063
437	826	1061
438	828	1058
439	829	1056
440	831	1053
441	832	1051
442	833	1048
443	834	1045
444	835	1042
445	836	1039
446	838	1037
447	840	1035
448	842	1034
449	844	1032
450	846	1029
451	847	1028
452	849	1025
453	851	1023
454	853	1021
455	855	1020
456	856	1017
457	858	1015
458	859	1013
459	861	1011
460	863	1009
461	865	1007
462	867	1005
463	869	1003
464	871	1002
465	873	1000
466	874	998
467	876	996
468	878	994
469	879	992
470	881	990
471	883	988
472	885	987
473	888	985
474	889	983
475	891	981
476	893	979
477	895	977
478	897	976
479	899	974
480	901	972
481	903	970
482	904	968
483	906	966
484	908	965
485	910	962
486	912	960
487	914	959
488	916	957
489	918	955
490	921	954
491	922	952
492	924	951
493	926	949
494	928	947
495	930	945
496	932	943
497	934	941
498	936	940
499	938	938
500	940	936
501	942	935
